# /dev/cpu_dma_latency set to 0us
policy: fifo: loadavg: 0.14 0.24 0.12 2/183 30087          

T: 3 (30087) P:80 I:1000 C:    224 Min:     10 Act:   14 Avg:   12 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:    234 Min:     10 Act:   15 Avg:   12 Max:      19
T: 1 (30085) P:80 I:1000 C:    234 Min:     11 Act:   12 Avg:   12 Max:      19
T: 2 (30086) P:80 I:1000 C:    234 Min:     10 Act:   14 Avg:   11 Max:      25
T: 3 (30087) P:80 I:1000 C:    234 Min:     10 Act:   14 Avg:   12 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:    244 Min:     10 Act:   15 Avg:   12 Max:      19
T: 1 (30085) P:80 I:1000 C:    244 Min:     11 Act:   12 Avg:   12 Max:      19
T: 2 (30086) P:80 I:1000 C:    244 Min:     10 Act:   14 Avg:   11 Max:      25
T: 3 (30087) P:80 I:1000 C:    244 Min:     10 Act:   14 Avg:   12 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:    254 Min:     10 Act:   16 Avg:   12 Max:      19
T: 1 (30085) P:80 I:1000 C:    254 Min:     11 Act:   13 Avg:   12 Max:      19
T: 2 (30086) P:80 I:1000 C:    254 Min:     10 Act:   14 Avg:   11 Max:      25
T: 3 (30087) P:80 I:1000 C:    254 Min:     10 Act:   14 Avg:   12 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:    264 Min:     10 Act:   15 Avg:   12 Max:      19
T: 1 (30085) P:80 I:1000 C:    264 Min:     11 Act:   13 Avg:   12 Max:      19
T: 2 (30086) P:80 I:1000 C:    264 Min:     10 Act:   14 Avg:   11 Max:      25
T: 3 (30087) P:80 I:1000 C:    264 Min:     10 Act:   14 Avg:   12 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:    275 Min:     10 Act:   15 Avg:   12 Max:      19
T: 1 (30085) P:80 I:1000 C:    275 Min:     11 Act:   15 Avg:   12 Max:      19
T: 2 (30086) P:80 I:1000 C:    274 Min:     10 Act:   14 Avg:   12 Max:      25
T: 3 (30087) P:80 I:1000 C:    274 Min:     10 Act:   14 Avg:   12 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:    285 Min:     10 Act:   14 Avg:   12 Max:      19
T: 1 (30085) P:80 I:1000 C:    285 Min:     11 Act:   13 Avg:   12 Max:      19
T: 2 (30086) P:80 I:1000 C:    284 Min:     10 Act:   14 Avg:   12 Max:      25
T: 3 (30087) P:80 I:1000 C:    285 Min:     10 Act:   13 Avg:   12 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:    295 Min:     10 Act:   14 Avg:   12 Max:      19
T: 1 (30085) P:80 I:1000 C:    295 Min:     11 Act:   11 Avg:   12 Max:      19
T: 2 (30086) P:80 I:1000 C:    295 Min:     10 Act:   14 Avg:   12 Max:      25
T: 3 (30087) P:80 I:1000 C:    295 Min:     10 Act:   13 Avg:   12 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:    305 Min:     10 Act:   14 Avg:   13 Max:      19
T: 1 (30085) P:80 I:1000 C:    305 Min:     11 Act:   11 Avg:   12 Max:      19
T: 2 (30086) P:80 I:1000 C:    305 Min:     10 Act:   14 Avg:   12 Max:      25
T: 3 (30087) P:80 I:1000 C:    305 Min:     10 Act:   13 Avg:   12 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:    315 Min:     10 Act:   15 Avg:   13 Max:      19
T: 1 (30085) P:80 I:1000 C:    315 Min:     11 Act:   11 Avg:   12 Max:      19
T: 2 (30086) P:80 I:1000 C:    315 Min:     10 Act:   14 Avg:   12 Max:      25
T: 3 (30087) P:80 I:1000 C:    315 Min:     10 Act:   13 Avg:   12 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:    325 Min:     10 Act:   14 Avg:   13 Max:      19
T: 1 (30085) P:80 I:1000 C:    325 Min:     11 Act:   11 Avg:   12 Max:      19
T: 2 (30086) P:80 I:1000 C:    325 Min:     10 Act:   13 Avg:   12 Max:      25
T: 3 (30087) P:80 I:1000 C:    325 Min:     10 Act:   13 Avg:   12 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 2/183 30087          

T: 0 (30084) P:80 I:1000 C:    336 Min:     10 Act:   14 Avg:   13 Max:      19
T: 1 (30085) P:80 I:1000 C:    336 Min:     11 Act:   11 Avg:   12 Max:      19
T: 2 (30086) P:80 I:1000 C:    335 Min:     10 Act:   14 Avg:   12 Max:      25
